Action_Category,BERTScore_F1_count,BERTScore_F1_mean,BERTScore_F1_std,BERTScore_F1_min,BERTScore_F1_max,Feature_CosSim_mean,Feature_CosSim_std,CLIPScore_Change_mean,CLIPScore_Change_std,Attack_Success_sum,Strong_Attack_sum,Processing_Time_Sec_mean,Success_Rate,Strong_Rate
boxing,2,0.5803,0.0,0.5803,0.5803,0.6993,0.0,-2.95,0.0,2,0,14.075,100.0,0.0
climbing,2,0.6472,0.0,0.6472,0.6472,0.4867,0.0,-1.73,0.0,0,0,5.87,0.0,0.0
cooking,4,0.5348,0.0,0.5348,0.5348,0.5015,0.0,-0.77,0.0,4,0,7.95,100.0,0.0
dancing,3,0.5977,0.0,0.5977,0.5977,0.5356,0.0,2.34,0.0,3,0,12.9133,100.0,0.0
jumping,3,0.4961,0.0,0.4961,0.4961,0.5065,0.0,4.19,0.0,3,3,9.9933,100.0,100.0
painting,3,0.7049,0.0,0.7049,0.7049,0.6691,0.0,-3.91,0.0,0,0,6.3867,0.0,0.0
playing,13,0.5712,0.0944,0.4765,0.7034,0.5184,0.0408,1.4769,1.6504,9,3,9.1354,69.2,23.1
reading,2,0.5501,0.0,0.5501,0.5501,0.4836,0.0,-3.97,0.0,2,0,6.64,100.0,0.0
riding,4,0.3696,0.0,0.3696,0.3696,0.557,0.0,-0.02,0.0,4,4,7.0,100.0,100.0
running,4,0.2946,0.0,0.2946,0.2946,0.5118,0.0,-2.5,0.0,4,4,10.6,100.0,100.0
singing,4,0.5285,0.0,0.5285,0.5285,0.4833,0.0,0.49,0.0,4,0,13.5075,100.0,0.0
skateboarding,2,0.9617,0.0,0.9617,0.9617,0.5441,0.0,1.72,0.0,0,0,8.09,0.0,0.0
swimming,3,0.5206,0.0,0.5206,0.5206,0.4842,0.0,-2.07,0.0,3,0,12.19,100.0,0.0
walking,4,0.4228,0.0,0.4228,0.4228,0.5486,0.0,3.09,0.0,4,4,11.015,100.0,100.0
weightlifting,2,0.5696,0.0,0.5696,0.5696,0.4995,0.0,-1.26,0.0,2,0,8.385,100.0,0.0
yoga,2,0.8363,0.0,0.8363,0.8363,0.6172,0.0,0.64,0.0,0,0,7.315,0.0,0.0
